timestamp,MaxTemp,MinTemp,AverageTemp,CloudCoverTotal
19401224T0000,-8.459755,-13.849754,-11.393505,57.541668
19401225T0000,-6.1497545,-16.259754,-11.03392,21.041666
19401226T0000,-6.4297547,-16.149755,-11.996838,13.766666
19401227T0000,-3.6397548,-16.049755,-7.6385055,89.916664
19401228T0000,-0.6897546,-7.0297546,-3.8910048,91.458336
19401229T0000,-0.5397546,-4.9197545,-2.8805883,83.083336
19401230T0000,3.9202452,-2.4697547,0.3348287,89.875
19401231T0000,8.510245,3.9302454,5.806495,94.875
19410101T0000,5.2402453,-0.03975457,3.0335782,86.583336
19410102T0000,2.1302454,-9.829755,-5.754338,93.583336
19410103T0000,-9.799755,-11.109755,-10.368087,93.958336
19410104T0000,-8.679754,-11.099754,-10.058505,76.583336
19410105T0000,-7.3797545,-13.869755,-10.1410055,49.541668
19410106T0000,-7.7697544,-16.319756,-11.869339,49.208332
19410107T0000,-4.8997545,-9.879755,-7.4514213,93.458336
19410108T0000,-6.5897546,-11.869755,-9.405171,22.0
19410109T0000,-5.329755,-11.759755,-7.931004,75.916664
19410110T0000,-4.6997547,-13.339755,-8.073505,13.708333
19410111T0000,-5.1497545,-14.329755,-10.843922,1.3499999
19410112T0000,-3.8797545,-15.299755,-10.844337,0.33333334
19410113T0000,-4.309755,-18.429754,-12.511838,0.375
19410114T0000,-6.3797545,-17.829754,-12.619755,23.291666
19410115T0000,-5.1497545,-12.929754,-9.239753,94.875
19410116T0000,-8.299755,-10.069755,-9.152673,97.708336
19410117T0000,-6.079755,-12.159755,-8.306005,80.5
19410118T0000,-0.09975457,-12.179754,-5.700172,87.0
19410119T0000,6.0302453,2.3102455,4.674412,84.458336
19410120T0000,9.300245,2.1702454,4.975662,91.375
19410121T0000,5.5102453,0.5902454,2.9235785,58.675
19410122T0000,4.2002454,0.5702454,2.9810789,71.541664
19410123T0000,7.0902452,-0.98975456,3.5773284,62.05
19410124T0000,8.010245,2.6602454,6.1623282,71.487495
19410125T0000,7.7802453,3.5002456,6.3764954,82.958336
19410126T0000,7.500245,3.3202453,5.373579,79.166664
19410127T0000,3.5902452,-2.5097547,2.1023285,80.375
19410128T0000,2.8102455,-2.7897544,0.57774544,84.5
19410129T0000,2.8302455,0.41024542,1.6577454,78.5
19410130T0000,3.1302452,-2.0397544,0.71441215,63.404163
19410131T0000,1.2702454,-0.73975456,0.4189953,94.791664
19410201T0000,4.860245,0.100245416,2.2102454,89.791664
19410202T0000,1.7502455,-1.8497547,0.71066207,80.291664
19410203T0000,0.5002454,-1.8097545,-0.75808793,97.875
19410204T0000,-2.3397546,-4.6497545,-3.7760048,97.333336
19410205T0000,-4.5897546,-7.5197544,-5.612671,67.458336
19410206T0000,-2.9497547,-13.509755,-7.8868384,67.870834
19410207T0000,4.3402452,-3.2097545,1.4089955,89.916664
19410208T0000,7.0102453,4.3402452,5.2639956,97.291664
19410209T0000,9.380245,1.8202454,6.0406613,73.42917
19410210T0000,9.340245,0.2502454,4.088162,30.250006
19410211T0000,9.590245,0.4902454,4.409412,41.929165
19410212T0000,8.630245,-0.10975462,3.445245,61.8625
19410213T0000,8.570246,1.9502454,5.2089953,58.95
19410214T0000,10.800245,-0.07975459,5.7769113,60.162495
19410215T0000,9.530245,1.2902454,4.983578,62.212505
19410216T0000,6.8402452,1.8202454,3.5760787,76.987495
19410217T0000,9.130245,0.5802454,4.8369117,50.662495
19410218T0000,8.8102455,2.6702452,5.3577456,70.137505
19410219T0000,6.4902453,3.3802452,5.270663,70.166664
19410220T0000,6.2802453,-0.48975456,3.7219117,74.458336
19410221T0000,5.8702455,-0.5797546,1.6769122,82.708336
19410222T0000,3.1602454,-2.3897548,0.25149536,64.558334
19410223T0000,6.2202454,-0.35975462,2.3902454,85.125
19410224T0000,5.0902452,-3.2497544,1.1160787,73.625
19410225T0000,4.0802455,-3.729755,0.8577454,62.25
19410226T0000,4.0302453,-3.4697547,-0.27767122,31.262499
19410227T0000,6.5902452,-2.0797548,2.3877451,67.11667
19410228T0000,12.690246,3.3802452,7.953995,75.708336
19410301T0000,11.500245,5.520245,8.998579,71.583336
19410302T0000,16.990246,4.2302456,10.281495,35.995834
19410303T0000,10.020246,6.150245,8.516078,70.625
19410304T0000,9.490245,2.2802453,5.6110783,55.083332
19410305T0000,5.6802454,-1.8897547,3.0585785,46.08333
19410306T0000,8.950245,-2.3697548,3.736912,40.649998
19410307T0000,12.330245,3.3802452,7.5806613,64.09583
19410308T0000,11.720245,3.5802455,6.6944127,74.26667
19410309T0000,9.640245,-0.35975462,4.786912,43.954166
19410310T0000,11.740245,0.47024542,6.020246,47.925
19410311T0000,12.510245,0.7202454,6.408995,16.237501
19410312T0000,10.230246,-0.65975463,3.9706619,1.3666667
19410313T0000,12.770246,-3.3697548,3.9752455,2.3500001
19410314T0000,13.000245,-1.8597547,4.5698295,17.312502
19410315T0000,13.910245,-1.6497546,6.242746,2.0625
19410316T0000,15.610246,0.4302454,8.232328,9.5625
19410317T0000,9.850245,-1.3797545,5.053161,27.208334
19410318T0000,6.5902452,-4.4197545,0.9498287,6.504167
19410319T0000,10.170245,-4.5097547,1.8860787,0.275
19410320T0000,9.300245,-2.6097546,2.8356621,17.0
19410321T0000,13.160245,-3.1197548,4.961912,42.333332
19410322T0000,6.440245,3.7102456,5.468162,93.291664
19410323T0000,10.140245,2.6502452,6.840245,94.541664
19410324T0000,6.920245,-0.2697546,3.8269122,60.916668
19410325T0000,9.630245,0.7302454,6.3610787,63.591663
19410326T0000,12.640245,8.780245,10.523579,92.916664
19410327T0000,13.620245,5.920245,10.336078,84.583336
19410328T0000,13.090245,5.880245,8.942745,75.208336
19410329T0000,9.160245,2.9002452,7.0698285,46.666668
19410330T0000,8.780245,2.2102454,5.6098285,67.995834
19410331T0000,5.5602455,2.1302454,3.668162,95.791664
19410401T0000,10.380245,2.7102456,5.850245,47.087505
19410402T0000,10.760245,3.1802454,6.685662,68.708336
19410403T0000,15.100245,4.6002455,9.891079,61.204166
19410404T0000,16.010246,3.1102452,10.058162,27.329168
19410405T0000,10.080245,5.3102455,8.208161,71.875
19410406T0000,9.370245,4.0102453,6.782746,99.875
19410407T0000,5.1602454,1.5502454,3.0173283,99.375
19410408T0000,4.3402452,-1.3797545,2.113162,71.75
19410409T0000,6.9702454,-2.8797545,1.8427452,41.208332
19410410T0000,6.190245,-2.0297546,1.920662,57.0
19410411T0000,8.710245,-1.6197547,3.6389954,60.5
19410412T0000,11.330245,-0.41975462,6.183578,53.791668
19410413T0000,15.640245,2.9402456,9.701494,41.291668
19410414T0000,19.030245,4.940245,12.325245,24.6625
19410415T0000,13.550245,8.800245,10.913579,85.666664
19410416T0000,11.540245,3.9302454,8.323996,87.5
19410417T0000,13.650246,2.7102456,8.231495,47.745834
19410418T0000,17.580246,3.2402453,10.369412,24.3125
19410419T0000,13.790245,5.8302455,9.311078,70.39167
19410420T0000,16.280245,7.020245,11.453579,83.0
19410421T0000,15.140245,8.160246,11.200245,68.833336
19410422T0000,14.220245,3.6702452,9.404411,69.25
19410423T0000,15.650246,1.6202455,8.656912,25.320833
19410424T0000,10.140245,5.4502454,7.2431617,82.75
19410425T0000,7.8702455,2.5102453,6.2402444,99.041664
19410426T0000,4.4402456,2.2202454,3.2581623,97.375
19410427T0000,8.300245,1.2502453,5.319829,90.0
19410428T0000,12.240245,1.8002454,7.370662,54.395832
19410429T0000,16.580246,4.730245,10.005245,49.6375
19410430T0000,15.800245,4.920245,10.970661,21.5875
19410501T0000,15.730246,8.100245,11.456496,37.666668
19410502T0000,15.080245,6.6002455,10.286912,59.625
19410503T0000,7.7202454,-0.39975458,5.2981625,62.125
19410504T0000,9.510245,-3.0597544,4.119412,40.166668
19410505T0000,12.210245,1.2902454,7.326079,58.083332
19410506T0000,11.540245,1.8602453,6.6723275,55.375
19410507T0000,12.740245,2.6902456,7.088162,63.5
19410508T0000,13.200245,2.0802455,7.3231616,16.691668
19410509T0000,16.710245,0.6102454,8.696911,20.033333
19410510T0000,13.860246,4.2302456,9.130245,55.5
19410511T0000,10.390245,3.8002453,7.203579,63.379166
19410512T0000,10.710245,1.6102453,6.3669114,51.225002
19410513T0000,15.000245,-0.52975464,8.448163,47.899998
19410514T0000,18.820246,3.2902455,11.799829,34.225
19410515T0000,15.800245,7.3902454,11.4856615,58.8875
19410516T0000,12.490245,2.9002452,8.178578,64.541664
19410517T0000,17.630245,1.3902454,10.813163,37.229168
19410518T0000,17.440245,9.050245,13.02816,48.845837
19410519T0000,13.730246,7.9102454,10.98608,85.333336
19410520T0000,12.800245,6.4902453,9.701495,91.166664
19410521T0000,14.3102455,8.160246,11.499828,91.083336
19410522T0000,18.490246,10.180245,14.186494,58.916668
19410523T0000,18.190245,10.270246,13.784828,74.75
19410524T0000,12.710245,6.690245,10.076913,70.875
19410525T0000,16.350246,5.730245,11.966912,31.170832
19410526T0000,14.610246,6.5702453,10.816078,57.94583
19410527T0000,17.660246,5.250245,12.077329,37.587498
19410528T0000,19.370245,8.580245,14.207745,47.00833
19410529T0000,13.600245,8.100245,11.12608,59.708332
19410530T0000,17.730246,7.540245,13.1089945,33.541668
19410531T0000,14.240245,8.590245,11.968579,76.666664
19410601T0000,22.140245,6.3902454,14.541913,37.970833
19410602T0000,23.860245,10.030245,17.068579,45.441666
19410603T0000,24.900246,12.960245,18.482744,18.304165
19410604T0000,27.840246,10.900246,19.845663,8.325001
19410605T0000,18.360245,12.780245,16.195246,57.041668
19410606T0000,16.340246,8.760245,13.271079,29.5625
19410607T0000,18.480246,7.8702455,13.889411,37.983334
19410608T0000,19.290245,10.900246,14.399827,50.270832
19410609T0000,20.460245,8.680245,15.12233,68.583336
19410610T0000,14.390245,12.050245,13.212746,75.5
19410611T0000,12.830245,9.280245,11.5098295,79.40417
19410612T0000,14.960245,8.010245,11.641913,56.791668
19410613T0000,13.290245,8.590245,11.492328,79.25
19410614T0000,16.480246,6.9902453,12.034828,48.74167
19410615T0000,17.120245,7.5802455,13.421497,61.720837
19410616T0000,18.000246,12.130245,14.941497,61.916668
19410617T0000,22.550245,8.800245,15.637328,29.541666
19410618T0000,26.550245,8.550245,18.430662,12.375
19410619T0000,28.150246,13.290245,21.224411,9.1375
19410620T0000,28.810246,15.410245,22.606493,7.758333
19410621T0000,28.440245,15.930245,22.746492,8.916667
19410622T0000,29.110245,16.060246,23.259829,5.495833
19410623T0000,29.530245,16.780245,23.189829,9.816667
19410624T0000,30.630245,16.090246,23.328161,12.516667
19410625T0000,30.910246,16.160246,22.741076,18.675
19410626T0000,26.490246,17.940245,21.576075,35.5125
19410627T0000,22.670246,16.800245,19.21691,52.095837
19410628T0000,24.370245,15.300245,19.123161,45.916668
19410629T0000,19.250246,13.390245,16.070662,61.166668
19410630T0000,20.010244,11.970245,15.845661,42.166668
19410701T0000,23.260244,10.030245,17.48983,13.166667
19410702T0000,23.410246,13.5602455,18.650663,39.595833
19410703T0000,24.130245,14.050245,18.897327,58.11667
19410704T0000,24.980246,15.150246,20.159414,14.9375
19410705T0000,23.450245,15.680245,19.248579,22.966667
19410706T0000,26.830246,13.390245,19.96483,5.7125
19410707T0000,29.510244,13.400246,22.088995,12.783334
19410708T0000,31.040245,16.800245,23.60983,20.237501
19410709T0000,28.600245,15.350245,22.377329,10.670833
19410710T0000,30.180244,16.660246,23.722328,16.074999
19410711T0000,29.450245,18.320246,23.12941,11.891666
19410712T0000,31.450245,16.760244,23.255249,17.008335
19410713T0000,26.400246,16.510246,21.013578,22.625
19410714T0000,25.770245,14.540245,20.268995,17.379168
19410715T0000,24.080246,15.570246,19.888163,30.654167
19410716T0000,19.550245,15.460245,17.143995,40.958332
19410717T0000,19.960245,13.8102455,16.45816,60.208332
19410718T0000,23.570246,11.930245,18.115246,6.7125
19410719T0000,24.290245,14.160245,19.521078,26.120834
19410720T0000,19.300245,13.280245,16.764414,34.645832
19410721T0000,20.670246,11.180245,15.863996,52.375
19410722T0000,24.730246,8.830245,17.69858,28.366667
19410723T0000,25.390245,14.440246,20.11483,36.483337
19410724T0000,27.390245,12.210245,20.265661,5.7708335
19410725T0000,30.480246,14.110246,22.340242,1.6875
19410726T0000,28.170246,17.640245,22.311499,9.266667
19410727T0000,21.940245,16.710245,18.933163,31.574999
19410728T0000,19.190245,14.070246,16.731493,89.125
19410729T0000,22.110245,13.570246,17.879412,52.833332
19410730T0000,16.990246,12.490245,15.090245,72.625
19410731T0000,15.750245,10.0602455,13.533161,56.458332
19410801T0000,20.930244,9.300245,15.158996,29.716667
19410802T0000,23.520245,10.410245,17.302328,31.862501
19410803T0000,26.000246,13.460245,19.570244,23.279167
19410804T0000,20.510244,15.330245,17.674828,41.837498
19410805T0000,18.150246,12.960245,16.50691,61.8
19410806T0000,15.650246,10.130245,12.740663,48.458332
19410807T0000,16.400246,9.800245,12.795662,40.375
19410808T0000,18.620245,9.690246,14.206078,56.25
19410809T0000,19.320246,11.910245,15.506494,58.92917
19410810T0000,19.560246,11.240245,15.666909,80.84583
19410811T0000,24.960245,15.3102455,19.706493,55.708332
19410812T0000,23.100245,13.8102455,18.019827,27.483332
19410813T0000,18.200245,11.530245,15.170245,39.495834
19410814T0000,23.020245,14.470245,18.40108,11.962501
19410815T0000,29.720245,12.120245,20.697329,16.225
19410816T0000,23.020245,14.120245,18.351078,35.058334
19410817T0000,20.680244,12.780245,16.488161,56.75
19410818T0000,26.190245,10.160245,18.726496,11.012501
19410819T0000,22.070246,15.370245,18.367746,31.191668
19410820T0000,16.810246,11.010245,15.175246,57.970837
19410821T0000,19.520245,11.040245,14.727748,45.958332
19410822T0000,17.810246,9.300245,15.195661,55.183334
19410823T0000,24.560246,7.730245,16.881912,37.0375
19410824T0000,22.050245,13.660245,19.234829,27.804167
19410825T0000,23.410246,10.690246,17.892328,6.995834
19410826T0000,21.590246,14.540245,17.962328,43.5
19410827T0000,21.600245,11.850245,16.284412,43.541668
19410828T0000,23.790245,8.100245,16.580664,11.208333
19410829T0000,19.690245,13.440246,16.397327,73.308334
19410830T0000,16.900246,11.070246,13.600659,63.583332
19410831T0000,15.970245,11.410245,13.409829,54.208332
19410901T0000,17.070246,7.8702455,12.898578,72.583336
19410902T0000,20.100245,4.0502453,12.389412,12.258332
19410903T0000,23.000246,4.5302453,13.896496,11.925
19410904T0000,24.300245,7.650245,16.086079,1.9375
19410905T0000,25.680244,8.870245,17.605246,0.0
19410906T0000,25.890245,12.670245,19.748579,18.704166
19410907T0000,20.650246,13.830245,17.073576,32.25
19410908T0000,16.520247,6.790245,12.649413,19.741667
19410909T0000,16.260246,2.7102456,9.733996,15.399999
19410910T0000,18.220245,3.2002454,11.371079,23.125
19410911T0000,16.830246,8.660245,13.361079,37.875
19410912T0000,15.360246,8.880245,12.300246,47.958332
19410913T0000,13.000245,7.2402453,10.459413,55.583332
19410914T0000,14.5602455,6.130245,11.002746,71.25
19410915T0000,15.820246,6.5702453,12.081912,55.875
19410916T0000,15.830245,2.1502454,9.089412,0.9166667
19410917T0000,18.180244,1.5502454,9.921079,2.7875001
19410918T0000,18.230246,3.6502452,10.376078,2.25
19410919T0000,16.490246,5.9502454,10.135245,1.7083334
19410920T0000,19.490246,3.4102454,11.2894125,0.0
19410921T0000,22.080246,6.2802453,13.343995,7.245834
19410922T0000,22.060246,6.1602454,13.875663,2.5875
19410923T0000,23.530245,6.980245,15.1644125,2.4333336
19410924T0000,23.660246,8.350245,15.696912,11.212501
19410925T0000,24.950245,9.670245,17.200245,2.4666667
19410926T0000,23.570246,11.270246,17.094412,29.654167
19410927T0000,23.320246,12.3102455,16.543995,24.533333
19410928T0000,22.940245,10.150246,16.173578,14.916665
19410929T0000,21.600245,10.460245,15.153579,46.604168
19410930T0000,16.560246,12.140245,14.185245,99.083336
19411001T0000,13.710245,8.650246,11.781497,81.833336
19411002T0000,16.840246,7.9902453,12.139828,47.3875
19411003T0000,16.110247,8.840245,12.376495,33.658333
19411004T0000,19.970245,11.380245,14.891911,7.379167
19411005T0000,18.170246,11.290245,14.374828,8.533334
19411006T0000,17.290245,12.460245,14.31066,10.15
19411007T0000,18.590246,11.870245,14.431495,9.208333
19411008T0000,17.120245,11.630245,13.6802435,31.791666
19411009T0000,19.430244,8.930245,13.709828,47.416668
19411010T0000,18.500246,13.170245,15.497743,88.041664
19411011T0000,14.840245,9.840245,13.311078,79.166664
19411012T0000,10.090245,1.0502454,7.2448287,70.75
19411013T0000,11.240245,-2.5797548,3.426912,3.5708334
19411014T0000,11.950245,-0.97975457,5.3202453,56.966663
19411015T0000,11.090245,4.2102456,8.555662,60.208332
19411016T0000,12.800245,0.6302454,6.692745,35.199993
19411017T0000,12.800245,2.8602452,8.429829,29.870834
19411018T0000,14.370245,11.360246,13.163995,81.19583
19411019T0000,14.600245,12.610246,13.671912,91.208336
19411020T0000,16.130245,9.330245,13.041078,22.791666
19411021T0000,15.670245,7.6602454,11.279411,42.541668
19411022T0000,11.290245,4.0702453,7.8298287,56.916668
19411023T0000,5.8902454,2.6602454,4.4123287,64.708336
19411024T0000,5.6402454,2.1802454,3.8314955,82.666664
19411025T0000,5.3202453,1.0102454,3.5385783,71.0
19411026T0000,3.5302453,1.3002454,2.3589952,88.75
19411027T0000,5.400245,0.9002454,3.5344124,54.391666
19411028T0000,4.940245,1.2502453,3.673996,97.625
19411029T0000,5.150245,-0.22975457,2.8548288,82.333336
19411030T0000,2.3902454,-1.8797547,0.41816202,69.73333
19411031T0000,3.0102453,-0.97975457,0.7677453,69.166664
19411101T0000,2.7802453,-0.9597546,0.8473287,90.041664
