timestamp,MaxTemp,MinTemp,AverageTemp,CloudCoverTotal
20000101T0000,5.040245,1.4702454,3.5939953,96.125
20000102T0000,5.3302455,1.5002453,3.733578,75.25
20000103T0000,5.8002453,0.2102454,2.083162,31.404165
20000104T0000,7.9302454,0.1202454,4.2194123,39.908337
20000105T0000,9.5602455,2.3202453,6.8385797,83.916664
20000106T0000,7.5802455,2.1102452,3.9714956,54.416668
20000107T0000,7.3202453,3.6902456,5.7535787,93.34167
20000108T0000,7.400245,4.2302456,5.238579,80.5
20000109T0000,7.3302455,4.7202454,5.870662,97.083336
20000110T0000,4.150245,2.2002454,2.728162,99.166664
20000111T0000,3.5802455,1.6802454,3.0852458,88.25
20000112T0000,3.0102453,-0.17975461,1.8169118,49.708332
20000113T0000,5.2202454,-1.7097546,0.60316205,30.041666
20000114T0000,4.9902453,-2.7497544,-0.022671243,0.8333333
20000115T0000,1.8302454,-2.9197545,-1.4397545,3.5666666
20000116T0000,2.2002454,-2.4197545,-0.57475466,47.00833
20000117T0000,3.5402455,-1.9197546,1.2052454,78.166664
20000118T0000,5.6202455,3.4202452,4.334829,87.708336
20000119T0000,3.0102453,0.4602454,1.7856618,59.125
20000120T0000,3.0802455,-1.6697546,0.6227453,66.208336
20000121T0000,3.1802454,1.0402454,2.2027454,91.791664
20000122T0000,3.2702456,1.5302454,2.4114954,94.333336
20000123T0000,3.5502453,0.5102454,1.9514955,67.75
20000124T0000,-0.1897546,-6.059755,-3.500171,34.054165
20000125T0000,-1.7197546,-7.289755,-5.428921,1.5625
20000126T0000,-0.48975456,-8.499755,-5.328505,0.625
20000127T0000,2.7402453,-8.1897545,-3.7401721,0.125
20000128T0000,4.9702454,-4.099755,0.4035786,27.862501
20000129T0000,8.180245,3.7402453,6.0485783,89.916664
20000130T0000,9.750245,8.480246,9.255246,98.916664
20000131T0000,10.5602455,3.6902456,7.9235783,70.541664
20000201T0000,12.750245,1.1102455,5.738995,38.416668
20000202T0000,8.220245,3.5202456,6.3248286,73.54583
20000203T0000,6.9502454,3.0902452,5.063578,77.166664
20000204T0000,8.540245,-0.99975455,3.5648296,27.354166
20000205T0000,13.700245,2.3502455,6.604412,11.991668
20000206T0000,12.260245,2.4802454,6.430245,26.000002
20000207T0000,10.490245,5.0702453,8.051495,80.708336
20000208T0000,11.680245,7.940245,10.005246,97.166664
20000209T0000,8.820246,4.0602455,5.5385795,51.375
20000210T0000,11.280245,0.8002454,5.8973293,37.666668
20000211T0000,7.9502454,0.080245405,4.1481624,74.333336
20000212T0000,5.150245,-0.3797546,2.321079,59.458332
20000213T0000,6.5302453,3.7202454,5.126912,98.708336
20000214T0000,8.080246,5.3002453,6.2994123,87.541664
20000215T0000,10.000245,6.730245,8.239412,74.125
20000216T0000,8.290245,1.0202454,4.606912,62.416668
20000217T0000,3.7802453,0.7602454,1.998579,68.416664
20000218T0000,8.700245,0.7502454,4.3177447,92.708336
