timestamp,MaxTemp,MinTemp,AverageTemp,CloudCoverTotal
20220904T0000,27.020245,13.290245,19.754412,36.750004
20220905T0000,28.520245,13.950245,20.778578,27.699999
20220906T0000,23.230246,17.000246,20.127745,45.208332
20220907T0000,26.110245,16.410246,20.570662,40.1875
20220908T0000,23.010244,15.640245,18.442327,50.19583
20220909T0000,21.760244,15.200245,17.787329,38.895832
20220910T0000,19.010244,14.300245,16.409412,72.958336
20220911T0000,22.390245,12.110246,17.021078,29.833334
20220912T0000,25.070246,10.130245,16.94691,23.6875
20220913T0000,27.670246,12.790245,20.568996,38.320835
20220914T0000,23.580246,18.380245,20.98733,57.79167
20220915T0000,19.190245,14.410245,17.615248,63.791668
20220916T0000,16.710245,11.670245,14.691079,74.458336
20220917T0000,14.530245,9.520246,11.675662,67.125
20220918T0000,16.510246,7.9102454,12.64858,42.083332
20220919T0000,16.870245,9.580245,13.183162,42.291668
20220920T0000,16.720245,6.4902453,11.590244,51.333332
20220921T0000,18.450245,5.0702453,11.459828,29.333334
20220922T0000,18.910246,4.4502454,11.408994,4.6124997
20220923T0000,20.500246,5.5502453,13.299829,37.216667
20220924T0000,17.700245,10.520246,14.4144125,64.1125
20220925T0000,15.890245,10.180245,12.703994,67.0
20220926T0000,15.300245,10.490245,12.74191,65.583336
20220927T0000,12.330245,10.020246,11.061078,83.833336
20220928T0000,12.080245,9.070246,11.019412,89.125
20220929T0000,12.540245,9.240245,10.552745,75.375
20220930T0000,15.220245,7.5102453,11.280246,52.19583
20221001T0000,14.420245,7.7802453,11.87608,79.583336
20221002T0000,19.250246,14.410245,16.475245,81.833336
20221003T0000,16.560246,8.220245,12.761913,53.24167
20221004T0000,19.500246,7.480245,12.076912,20.166666
20221005T0000,23.320246,8.670245,14.931911,10.379167
20221006T0000,18.630245,11.790245,14.539828,56.175
20221007T0000,20.630245,10.870245,15.030662,65.91667
20221008T0000,17.410246,10.380245,14.071912,43.1375
20221009T0000,17.130245,6.9902453,11.943162,34.541668
20221010T0000,22.190245,10.690246,15.963164,47.4375
20221011T0000,18.160246,11.430245,14.453162,48.479168
20221012T0000,18.200245,11.420245,14.192328,58.208332
20221013T0000,17.750246,10.110246,13.743577,75.125
20221014T0000,17.520245,12.650246,15.050244,89.75
20221015T0000,19.670246,14.390245,16.953165,74.375
20221016T0000,23.430244,12.840245,16.753164,32.962498
20221017T0000,23.400246,11.180245,15.941493,26.066666
20221018T0000,22.770245,12.920245,16.653162,27.504166
20221019T0000,19.090246,11.460245,14.715245,62.9875
20221020T0000,17.780245,13.260245,15.263995,62.2625
20221021T0000,17.640245,14.240245,15.512329,82.004166
20221022T0000,20.690245,12.120245,15.431911,45.175
20221023T0000,19.200245,10.730246,15.135662,46.40833
20221024T0000,17.440245,11.700245,15.400246,43.49167
20221025T0000,18.680244,10.820246,14.146493,36.337498
20221026T0000,21.760244,11.640245,15.634411,34.162495
20221027T0000,21.150246,10.740245,14.485245,47.099995
20221028T0000,22.970245,12.860246,16.149828,29.612501
20221029T0000,22.270245,11.260245,15.3414955,33.675007
20221030T0000,21.630245,10.230246,14.053581,23.674997
20221031T0000,18.700245,8.910245,12.723577,31.166666
20221101T0000,16.640245,8.260245,13.471078,51.962498
20221102T0000,16.060246,6.8002453,11.286078,45.595837
20221103T0000,12.770246,5.5902452,9.520662,72.604164
20221104T0000,11.050245,7.900245,9.454828,64.041664
20221105T0000,10.650246,2.9702454,7.914413,50.02917
20221106T0000,10.340245,2.8002453,6.520662,68.120834
20221107T0000,16.380245,5.520245,10.121911,31.129166
20221108T0000,16.540245,4.960245,9.743996,30.333334
20221109T0000,13.5602455,10.410245,11.842744,87.75
20221110T0000,14.010245,5.6202455,9.749828,46.87917
20221111T0000,12.070246,4.900245,7.7814956,38.545834
20221112T0000,9.700245,5.4502454,7.1302447,44.387497
20221113T0000,7.420245,4.2002454,5.527745,21.795832
20221114T0000,12.870245,4.1602454,8.464412,55.44167
